"","comparison","ROI","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"320","timecon_v_con","lh_postcentral",460.275449204434,351.542833832753,2.14241041892334e-62,"sig"
"520","uncon_v_errcon","lh_postcentral",424.297629386442,353.387521162407,8.92626421335701e-63,"sig"
"620","errcon_v_con","lh_postcentral",460.275449204434,35.9778198179919,0.0154736796422571,"sig"
"820","uncon_v_con","lh_postcentral",460.275449204434,389.365340980399,8.06954175318832e-59,"sig"
"121","uncon","lh_posteriorcingulate",74.1977152510625,NA,NA,NA
"221","uncon_v_timecon","lh_posteriorcingulate",97.335103479347,23.1373882282845,0.282098951986284,"nonsig"
"321","timecon_v_con","lh_posteriorcingulate",468.016274343895,370.681170864548,2.40476288641268e-66,"sig"
"521","uncon_v_errcon","lh_posteriorcingulate",446.14747212219,371.949756871128,1.3148656455027e-66,"sig"
"621","errcon_v_con","lh_posteriorcingulate",468.016274343895,21.8688022217052,0.34767203561537,"nonsig"
"821","uncon_v_con","lh_posteriorcingulate",468.016274343895,393.818559092833,1.07934294302002e-59,"sig"
"122","uncon","lh_precentral",49.2505392333638,NA,NA,NA
"222","uncon_v_timecon","lh_precentral",72.7994573890422,23.5489181556783,0.262651517319256,"nonsig"
"322","timecon_v_con","lh_precentral",694.375119866681,621.575662477639,8.16004450563306e-119,"sig"
"522","uncon_v_errcon","lh_precentral",670.283511357383,621.032972124019,1.06202171047141e-118,"sig"
"622","errcon_v_con","lh_precentral",694.375119866681,24.0916085092979,0.238413412335067,"nonsig"
"822","uncon_v_con","lh_precentral",694.375119866681,645.124580633317,3.29471436461936e-110,"sig"
"123","uncon","lh_precuneus",38.2123077741688,NA,NA,NA
"223","uncon_v_timecon","lh_precuneus",71.2540779606015,33.0417701864327,0.0333863327894391,"sig"
"323","timecon_v_con","lh_precuneus",554.66590182702,483.411823866419,8.60373344836491e-90,"sig"
"523","uncon_v_errcon","lh_precuneus",520.898556384921,482.686248610753,1.22010598287891e-89,"sig"
"623","errcon_v_con","lh_precuneus",554.66590182702,33.7673454420989,0.027742256359557,"sig"
"823","uncon_v_con","lh_precuneus",554.66590182702,516.453594052851,4.26094389061719e-84,"sig"
"124","uncon","lh_rostralanteriorcingulate",27.1389333296275,NA,NA,NA
"224","uncon_v_timecon","lh_rostralanteriorcingulate",52.1857623254984,25.0468289958709,0.19964541613196,"nonsig"
"324","timecon_v_con","lh_rostralanteriorcingulate",381.824573478892,329.638811153394,6.87672554943671e-58,"sig"
"524","uncon_v_errcon","lh_rostralanteriorcingulate",358.127516982596,330.988583652968,3.63206381256526e-58,"sig"
"624","errcon_v_con","lh_rostralanteriorcingulate",381.824573478892,23.6970564962969,0.255875873967768,"nonsig"
"824","uncon_v_con","lh_rostralanteriorcingulate",381.824573478892,354.685640149265,4.70161008418516e-52,"sig"
"125","uncon","lh_rostralmiddlefrontal",29.8458143698744,NA,NA,NA
"225","uncon_v_timecon","lh_rostralmiddlefrontal",40.7194048199355,10.8735904500611,0.949435015473894,"nonsig"
"325","timecon_v_con","lh_rostralmiddlefrontal",761.031017901662,720.311613081727,1.11155358549871e-139,"sig"
"525","uncon_v_errcon","lh_rostralmiddlefrontal",751.047183717729,721.201369347855,7.20333755865452e-140,"sig"
"625","errcon_v_con","lh_rostralmiddlefrontal",761.031017901662,9.9838341839328,0.968464127174473,"nonsig"
"825","uncon_v_con","lh_rostralmiddlefrontal",761.031017901662,731.185203531788,7.24629850730698e-128,"sig"
"126","uncon","lh_superiorfrontal",32.3550570145448,NA,NA,NA
"226","uncon_v_timecon","lh_superiorfrontal",50.6239811216259,18.268924107081,0.569697996374745,"nonsig"
