"","ROI","model","npar","fmin","chisq","df","pvalue","baseline.chisq","baseline.df","baseline.pvalue","cfi","tli","nnfi","rfi","nfi","pnfi","ifi","rni","logl","unrestricted.logl","aic","bic","ntotal","bic2","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.pvalue","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi"
"227","lh_precentral","unconstrained","84","0.0044841465869847","69.6298282026985","21","4.02801726751001e-07","6651.31313435343","21","0","0.992665530689533","0.992665530689533","0.992665530689533","0.989531416308899","0.989531416308899","0.989531416308899","0.992665530689533","0.992665530689533","13738.8008783048","13773.6157924062","-27309.6017566096","-26725.1925092893","7764","-26992.1273954943","0.0791422885017972","0.0590128841646818","0.100118682585564","0.0100025672574918","0.00051411434800849","0.000663718769294388","0.0320401473476555","0.0320401473476555","0.0413636523625005","0.455076601623909","0.00148664585249217","0.353979591737997","0.041375671918523","3643.89756224117","4342.09054290478","0.999984465489393","0.999922327446967","0.199996893097879","0.996873147901953"
"228","lh_precuneus","unconstrained","84","0.00201114832058006","31.2291111219672","21","0.0699285752958978","8562.41522246148","21","0","0.998802410273292","0.998802410273292","0.998802410273292","0.996352768429164","0.996352768429164","0.996352768429164","0.998802410273292","0.998802410273292","17892.6134227346","17908.2279782956","-35617.2268454693","-35032.817598149","7764","-35299.752484354","0.0362974557853912","0","0.0614480345334937","0.793819390084517","0.000166471822718715","0.000214914199000792","0.0165228329623345","0.0165228329623345","0.0213308856317628","0.281837327445892","0.000525171705395657","0.218937081442077","0.0213337855857813","8123.36795431734","9680.09036969662","0.999994760665152","0.999973803325761","0.19999895213303","0.999341464281643"
"229","lh_rostralanteriorcingulate","unconstrained","84","0.00449559628667716","69.807619139523","21","3.77249797844925e-07","4525.17451491055","21","0","0.989163914724452","0.989163914724452","0.989163914724452","0.984573496798962","0.984573496798962","0.984573496798962","0.989163914724452","0.989163914724452","8244.38857451197","8279.29238408173","-16320.7771490239","-15736.3679017037","7764","-16003.3027879087","0.0792868288474613","0.0591650492697663","0.100257129552886","0.00969262817756833","0.00102045608237137","0.00131740313752013","0.0363001582213996","0.0363001582213996","0.0468633027520583","0.400519000270035","0.00167854924628786","0.312371649019788","0.0468763673320165","3634.61957542068","4331.03434926894","0.999974352866195","0.999871764330974","0.199994870573239","0.99686173406912"
"230","lh_rostralmiddlefrontal","unconstrained","84","0.0045757091434988","71.0516115802494","21","2.3812080240937e-07","6248.07390341604","21","0","0.991962258300356","0.991962258300356","0.991962258300356","0.988628237649141","0.988628237649141","0.988628237649141","0.991962258300356","0.991962258300356","16000.402577954","16035.9283837441","-31832.805155908","-31248.3959085878","7764","-31515.3307947928","0.0802908895350519","0.0602207092209123","0.101219593837871","0.00775946801648986","0.000401920839707104","0.000518877572893105","0.0322389960062124","0.0322389960062124","0.041620364876836","0.491079479101342","0.00160814966568575","0.381782107377578","0.0416343074578736","3571.00109888277","4255.2228387518","0.999985832543901","0.999929162719504","0.19999716650878","0.996781875826627"
"231","lh_superiorfrontal","unconstrained","84","0.00458729755759524","71.2315564743388","21","2.22737824739916e-07","8377.75121240348","21","0","0.99398910471335","0.99398910471335","0.99398910471335","0.991497532611272","0.991497532611272","0.991497532611272","0.993989104713351","0.99398910471335","15491.3229374312","15526.9387156684","-30814.6458748625","-30230.2366275422","7764","-30497.1715137472","0.0804350904178193","0.06037212963642","0.101357921808002","0.00751137316975736","0.000475680675321403","0.00061410111121083","0.032438602478875","0.032438602478875","0.0418780557249751","0.527082046453857","0.00133713916364181","0.409577432023452","0.0418866808721054","3561.98257533178","4244.47583677624","0.999987870437397","0.999939352186984","0.199997574087479","0.996770324772415"
"232","lh_superiorparietal","unconstrained","84","0.00357806077153682","55.5601276604238","21","5.85526240274303e-05","6430.68591023577","21","0","0.99460814022022","0.99460814022022","0.99460814022022","0.991360155287325","0.991360155287325","0.991360155287325","0.99460814022022","0.99460814022022","16135.4609826846","16163.2410465148","-32102.9219653691","-31518.5127180489","7764","-31785.4476042539","0.0667182898342422","0.0456810857359147","0.0883336170486883","0.0913849010453771","0.000358024877513374","0.000462208129379082","0.0302481785371396","0.0302481785371396","0.0390502305758168","0.445477724962953","0.00118027313125393","0.34640599150615","0.0390590865455159","4566.40224257914","5441.40126333491","0.99998889791973","0.99994448959865","0.199997779583946","0.997776809856882"
"233","lh_superiortemporal","unconstrained","84","0.00373429329489952","57.9861062831997","21","2.56396758910871e-05","9409.75239860625","21","0","0.996060594132966","0.996060594132966","0.996060594132966","0.9938376586517","0.9938376586517","0.9938376586517","0.996060594132966","0.996060594132966","13479.0751495095","13508.0682026511","-26790.150299019","-26205.7410516988","7764","-26472.6759379038","0.0690202524273226","0.0481985958640973","0.0904973606849158","0.0651119202449139","0.000538760074363503","0.000695536265203772","0.025513844309833","0.025513844309833","0.032938231369904","0.340595455416056","0.0011697985784426","0.265068332881458","0.0329478658378179","4375.39841502814","5213.78989209171","0.999984856186965","0.999924280934824","0.199996971237393","0.99762093684466"
"234","lh_supramarginal","unconstrained","84","0.00622776115290995","96.7046751823856","21","1.09877662524127e-11","7546.34693984805","21","0","0.989940041862852","0.989940041862852","0.989940041862852","0.9871852333383","0.9871852333383","0.9871852333383","0.989940041862852","0.989940041862852","14421.2458493075","14469.5981868987","-28674.4916986151","-28090.0824512948","7764","-28357.0173374998","0.0987457895869601","0.0793209932601947","0.119084669276568","3.78610386416733e-05","0.000798757693176745","0.0010311917477762","0.0399703973824963","0.0399703973824963","0.0516015611345669","0.524921761157438","0.00217733822070521","0.40866331902349","0.051622795671582","2623.97899186868","3126.6957137257","0.999973480843796","0.99986740421898","0.199994696168759","0.995136499823313"
"235","lh_frontalpole","unconstrained","84","0.00623201264721549","96.7706923859621","21","1.06984421321954e-11","6597.35495436015","21","0","0.988478314672518","0.988478314672518","0.988478314672518","0.985331895425453","0.985331895425453","0.985331895425453","0.988478314672518","0.988478314672518","3445.51176033784","3493.89710653082","-6723.02352067568","-6138.61427335541","7764","-6405.54915956041","0.0987888351473145","0.0793650680468795","0.119126644939536","3.72883202165442e-05","0.00215419646346568","0.0027810556758205","0.0359795545026212","0.0359795545026212","0.0464494051308713","0.288181583731744","0.0020425690864891","0.226124735461869","0.0464690081882583","2622.18958917026","3124.56335644724","0.999930497786934","0.999652488934671","0.199986099557387","0.995132269015144"
"236","lh_temporalpole","unconstrained","84","0.00314545805676307","48.842672705417","21","0.000527349236227437","2986.62388718791","21","0","0.990611529389919","0.990611529389919","0.990611529389919","0.983646192305987","0.983646192305987","0.983646192305987","0.990611529389919","0.990611529389919","4.97439119278286","29.3957275454918","158.051217614434","742.460464934702","7764","475.525578729702","0.0598842614453785","0.0380014328468194","0.0819796966710612","0.210139814797568","0.00225854115746108","0.00291576409652359","0.0314074463138777","0.0314074463138777","0.040546838840184","0.27534355759628","0.0011763947846834","0.215610059834608","0.0405547524705568","5194.29343315706","6189.63325800954","0.999973700195677","0.999868500978383","0.199994740039135","0.998208544191554"
"237","lh_transversetemporal","unconstrained","84","0.00222706378353056","34.5818464306626","21","0.0313647567423206","9436.41527293889","21","0","0.998557488327711","0.998557488327711","0.998557488327711","0.996335277175663","0.996335277175663","0.996335277175663","0.998557488327711","0.998557488327711","9470.91352311402","9488.20444632935","-18773.827046228","-18189.4177989078","7764","-18456.3526851128","0.0418250669143928","0.0126534520769194","0.0659742625730848","0.682355635217349","0.000602714703803495","0.000778101336781757","0.0185007501088339","0.0185007501088339","0.023884365687953","0.181308663494264","0.000603853425502809","0.141658164908188","0.0238876797145157","7335.89843948803","8741.69547792584","0.999982749587647","0.999913747938237","0.199996549917529","0.999125714299453"
"238","lh_insula","unconstrained","84","0.00405612417060368","62.983496121134","21","4.46915419172189e-06","3310.46089457644","21","0","0.987236967555883","0.987236967555883","0.987236967555883","0.980974402620396","0.980974402620396","0.980974402620396","0.987236967555883","0.987236967555883","11082.5304624251","11114.0222104857","-21997.0609248502","-21412.65167753","7764","-21679.586563735","0.0735354132139044","0.0530661535020058","0.0947696063485125","0.0305572649158321","0.000671610135858371","0.000867044957107857","0.0368213066989699","0.0368213066989699","0.0475361025435687","0.545433750011162","0.00150486587353896","0.424113693688316","0.0475458556188925","4028.31424960973","4800.18402963015","0.999987876790427","0.999939383952137","0.199997575358085","0.997299923283743"
"239","rh_bankssts","unconstrained","84","0.00339308460268392","52.6878177104759","21","0.000152420305172707","11854.1457157681","21","0","0.997322113791918","0.997322113791918","0.997322113791918","0.995555325624149","0.995555325624149","0.995555325624149","0.997322113791918","0.997322113791918","12754.3796327685","12780.7235416238","-25340.7592655371","-24756.3500182168","7764","-25023.2849044218","0.0638856624032352","0.0425407592313731","0.085686358137621","0.133064560862979","0.00051911110027996","0.000670169548738564","0.0202369232287608","0.0202369232287608","0.0261257555478228","0.227355301935543","0.000876543363193478","0.17727148715684","0.0261318879983235","4815.28805445567","5737.9882042907","0.999979577530409","0.999897887652045","0.199995915506082","0.997961391859649"
"240","rh_caudalanteriorcingulate","unconstrained","84","0.00339798308854067","52.7638813988595","21","0.000148653375771191","11623.0380550338","21","0","0.997262215375593","0.997262215375593","0.997262215375593","0.995460405347636","0.995460405347636","0.995460405347636","0.997262215375593","0.997262215375593","10940.2549274028","10966.6368681023","-21712.5098548057","-21128.1006074854","7764","-21395.0354936904","0.0639622922698494","0.0426264180467793","0.0857577317127986","0.131795804267641","0.000634196106861617","0.000818743653368207","0.0210709236261619","0.0210709236261619","0.0272024454311111","0.199600748956729","0.000704102431183408","0.156043950399459","0.027206255830322","4808.34784276816","5729.71784071125","0.999971223539372","0.99985611769686","0.199994244707874","0.997956503371859"
"241","rh_caudalmiddlefrontal","unconstrained","84","0.00367339856030362","57.0405328443947","21","3.54402341067317e-05","6862.93509239528","21","0","0.994732406496453","0.994732406496453","0.994732406496453","0.991688609599761","0.991688609599761","0.991688609599761","0.994732406496453","0.994732406496453","13480.52413429","13509.0444007122","-26793.0482685801","-26208.6390212598","7764","-26475.5739074648","0.068132266775292","0.0472307746565771","0.0896614535551127","0.0744788228169486","0.000638777157632603","0.000824657764482927","0.031135709549071","0.031135709549071","0.0401960281853011","0.40368171601267","0.00131954601129115","0.314283322233464","0.0402052617085977","4447.9137781522","5300.20345483803","0.999985417212939","0.999927086064697","0.199997083442588","0.997681688556547"
"242","rh_cuneus","unconstrained","84","0.00167481751711073","26.0065664056954","21","0.2061987790345","10160.7165890516","21","0","0.999506241978094","0.999506241978094","0.999506241978094","0.997440479106196","0.997440479106196","0.997440479106196","0.999506241978094","0.999506241978094","15012.4376570593","15025.4409402621","-29856.8753141185","-29272.4660667982","7764","-29539.4009530032","0.0253937726530296","0","0.0534270503622951","0.920190746877592","0.000254290663997429","0.000328287835586023","0.0158343417493493","0.0158343417493493","0.0204420472977956","0.170316937117543","0.000382113776499159","0.132877150763126","0.0204434944987313","9754.47254466212","11623.8103318023","0.999989034950229","0.999945174751145","0.199997806990046","0.99967763012756"
"243","rh_entorhinal","unconstrained","84","0.00166121808588083","25.7953944375575","21","0.214358308162896","4521.83987195157","21","0","0.998934555644283","0.998934555644283","0.998934555644283","0.994295376402521","0.994295376402521","0.994295376402521","0.998934555644283","0.998934555644283","-169.875151740548","-156.977454521769","507.750303481095","1092.15955080136","7764","825.224664596363","0.0248524611878575","0","0.0530704403212415","0.923863260087551","0.00191191015323237","0.00246826539430461","0.0229948953864525","0.0229948953864525","0.0296862822931708","0.170445288638943","0.000607408512841306","0.134025080012897","0.0296888671917811","9834.31858068302","11718.9595546219","0.999979281119895","0.999896405599474","0.199995856223979","0.999691225267186"
