"","comparison","ROI","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"327","timecon_v_con","lh_superiorparietal",2425.74910504709,2339.49868547387,0,"sig"
"527","uncon_v_errcon","lh_superiorparietal",2372.10863847689,2326.72312200793,0,"sig"
"627","errcon_v_con","lh_superiorparietal",2425.74910504709,53.6404665702012,6.53902922025118e-05,"sig"
"827","uncon_v_con","lh_superiorparietal",2425.74910504709,2380.36358857813,0,"sig"
"128","uncon","lh_superiortemporal",60.6430724200679,NA,NA,NA
"228","uncon_v_timecon","lh_superiortemporal",88.1357560870832,27.4926836670153,0.121962997299317,"nonsig"
"328","timecon_v_con","lh_superiortemporal",3639.79915691549,3551.66340082841,0,"sig"
"528","uncon_v_errcon","lh_superiortemporal",3598.75114370933,3538.10807128926,0,"sig"
"628","errcon_v_con","lh_superiortemporal",3639.79915691549,41.0480132061566,0.00367270558299697,"sig"
"828","uncon_v_con","lh_superiortemporal",3639.79915691549,3579.15608449542,0,"sig"
"129","uncon","lh_supramarginal",35.9014148705735,NA,NA,NA
"229","uncon_v_timecon","lh_supramarginal",72.3234132034576,36.4219983328842,0.0137143284195468,"sig"
"329","timecon_v_con","lh_supramarginal",2737.6426685388,2665.31925533535,0,"sig"
"529","uncon_v_errcon","lh_supramarginal",2691.65103209738,2655.7496172268,0,"sig"
"629","errcon_v_con","lh_supramarginal",2737.6426685388,45.9916364414275,0.000808152972462184,"sig"
"829","uncon_v_con","lh_supramarginal",2737.6426685388,2701.74125366823,0,"sig"
"130","uncon","lh_frontalpole",23.5077500124931,NA,NA,NA
"230","uncon_v_timecon","lh_frontalpole",43.6351020743458,20.1273520618526,0.449988994663062,"nonsig"
"330","timecon_v_con","lh_frontalpole",136.88657333133,93.2514712569841,1.99122476782083e-11,"sig"
"530","uncon_v_errcon","lh_frontalpole",118.716826310274,95.2090762977806,8.97904231053892e-12,"sig"
"630","errcon_v_con","lh_frontalpole",136.88657333133,18.1697470210561,0.576227165196905,"nonsig"
"830","uncon_v_con","lh_frontalpole",136.88657333133,113.378823318837,6.07376297861427e-09,"sig"
"131","uncon","lh_temporalpole",22.435149976281,NA,NA,NA
"231","uncon_v_timecon","lh_temporalpole",49.4045788404112,26.9694288641301,0.136126284248375,"nonsig"
"331","timecon_v_con","lh_temporalpole",96.5976708485231,47.1930920081119,0.00055145544259549,"sig"
"531","uncon_v_errcon","lh_temporalpole",70.7977048599813,48.3625548837002,0.000378298152138475,"sig"
"631","errcon_v_con","lh_temporalpole",96.5976708485231,25.7999659885419,0.172520500489859,"nonsig"
"831","uncon_v_con","lh_temporalpole",96.5976708485231,74.1625208722421,0.00082400727695448,"sig"
"132","uncon","lh_transversetemporal",56.5117327675473,NA,NA,NA
"232","uncon_v_timecon","lh_transversetemporal",87.6668425871254,31.1551098195781,0.0531757682727592,"nonsig"
"332","timecon_v_con","lh_transversetemporal",485.619644842295,397.95280225517,5.43366519886884e-72,"sig"
"532","uncon_v_errcon","lh_transversetemporal",454.856212116046,398.344479348499,4.50678026559247e-72,"sig"
"632","errcon_v_con","lh_transversetemporal",485.619644842295,30.7634327262495,0.0583920006879471,"nonsig"
"832","uncon_v_con","lh_transversetemporal",485.619644842295,429.107912074748,1.18728992593439e-66,"sig"
"133","uncon","lh_insula",27.1516589052444,NA,NA,NA
"233","uncon_v_timecon","lh_insula",62.7634762547072,35.6118173494628,0.0170776234435793,"sig"
"333","timecon_v_con","lh_insula",100.547997873788,37.7845216190806,0.0094078496003674,"sig"
"533","uncon_v_errcon","lh_insula",67.1352642149869,39.9836053097425,0.00501930525893231,"sig"
"633","errcon_v_con","lh_insula",100.547997873788,33.4127336588009,0.030382869491756,"sig"
"833","uncon_v_con","lh_insula",100.547997873788,73.3963389685434,0.00100142441531943,"sig"
"134","uncon","rh_bankssts",32.199078467476,NA,NA,NA
"234","uncon_v_timecon","rh_bankssts",79.9693866552244,47.7703081877484,0.000458119586570752,"sig"
"334","timecon_v_con","rh_bankssts",1366.32387628931,1286.35448963409,2.4716958278677e-260,"sig"
"534","uncon_v_errcon","rh_bankssts",1309.20550881713,1277.00643034965,2.47991639484542e-258,"sig"
"634","errcon_v_con","rh_bankssts",1366.32387628931,57.1183674721822,1.9694501851822e-05,"sig"
"834","uncon_v_con","rh_bankssts",1366.32387628931,1334.12479782184,7.67501542279583e-254,"sig"
"135","uncon","rh_caudalanteriorcingulate",84.0034626894979,NA,NA,NA
"235","uncon_v_timecon","rh_caudalanteriorcingulate",132.819601885527,48.8161391960296,0.000326444832076279,"sig"
"335","timecon_v_con","rh_caudalanteriorcingulate",327.279938540308,194.46033665478,1.39834682006901e-30,"sig"
"535","uncon_v_errcon","rh_caudalanteriorcingulate",278.947430325881,194.943967636383,1.12252861784207e-30,"sig"
"635","errcon_v_con","rh_caudalanteriorcingulate",327.279938540308,48.3325082144262,0.000382001295794906,"sig"
"835","uncon_v_con","rh_caudalanteriorcingulate",327.279938540308,243.27647585081,5.98987691224406e-31,"sig"
"136","uncon","rh_caudalmiddlefrontal",55.7323859339834,NA,NA,NA
"236","uncon_v_timecon","rh_caudalmiddlefrontal",83.4251243022722,27.6927383682888,0.116874759752545,"nonsig"
"336","timecon_v_con","rh_caudalmiddlefrontal",1545.0793848735,1461.65426057123,6.69503711065067e-298,"sig"
"536","uncon_v_errcon","rh_caudalmiddlefrontal",1502.69574433835,1446.96335840437,9.47136511071589e-295,"sig"
